rank,token,count,fileCount,reason,suggestedPronunciation,sameAsOriginal,score,qualityFlags,autoDecision,reviewerDecision,reviewerNote
72,âyetler,4495,630,circumflex,âyetler,true,550,same_as_original|very_high_frequency,review,,
73,Taberânî,4429,198,circumflex,Taberânî,true,550,same_as_original|very_high_frequency,review,,
74,âhiret,4391,557,circumflex,âhiret,true,550,same_as_original|very_high_frequency,review,,
75,Allah'tır,4385,492,apostrophe,Allahtır,false,565,apostrophe_only|very_high_frequency,accept,,
76,selâm,4360,562,circumflex,selâm,true,550,same_as_original|very_high_frequency,review,,
77,Mâce,4354,288,circumflex,Mâce,true,550,same_as_original|very_high_frequency,review,,
78,Abbâs'tan,4349,120,circumflex|apostrophe,Abbâstan,false,615,very_high_frequency,accept,,
79,Rasûlüm,4328,248,circumflex,Rasûlüm,true,550,same_as_original|very_high_frequency,review,,
80,kâfirlere,4322,615,circumflex,kâfirlere,true,550,same_as_original|very_high_frequency,review,,
82,Abdurrezzâk,4224,111,circumflex,Abdurrezzâk,true,550,same_as_original|very_high_frequency,review,,
83,mânâsındadır,4192,130,circumflex,mânâsındadır,true,550,same_as_original|very_high_frequency,review,,
84,Basrî,4190,393,circumflex,Basrî,true,550,same_as_original|very_high_frequency,review,,
85,Mes'ûd,4133,381,circumflex|apostrophe,Mes'ûd,true,580,same_as_original|very_high_frequency,review,,
87,Dahhâk,3907,359,circumflex,Dahhâk,true,550,same_as_original|very_high_frequency,review,,
88,ebedî,3860,513,circumflex,ebedî,true,550,same_as_original|very_high_frequency,review,,
89,mânâsı,3830,260,circumflex,mânâsı,true,550,same_as_original|very_high_frequency,review,,
91,Âmir,3754,393,circumflex,Âmir,true,550,same_as_original|very_high_frequency,review,,
92,Âişe,3753,337,circumflex,Âişe,true,550,same_as_original|very_high_frequency,review,,
94,nâzil,3737,454,circumflex,nâzil,true,550,same_as_original|very_high_frequency,review,,
95,Allah'dan,3725,224,apostrophe,Allahdan,false,565,apostrophe_only|very_high_frequency,accept,,
96,Sûre,3703,368,circumflex,Sûre,true,550,same_as_original|very_high_frequency,review,,
97,Teâlâ,3692,161,circumflex,Teâlâ,true,550,same_as_original|very_high_frequency,review,,
98,Dâvud,3673,223,circumflex,Dâvud,true,550,same_as_original|very_high_frequency,review,,
99,kerîme,3659,139,circumflex,kerîme,true,550,same_as_original|very_high_frequency,review,,
100,bâtıl,3646,389,circumflex,bâtıl,true,550,same_as_original|very_high_frequency,review,,
101,sûre,3629,637,circumflex,sûre,true,550,same_as_original|very_high_frequency,review,,
102,Ferrâ',3585,221,circumflex,Ferrâ',true,550,same_as_original|edge_apostrophe|very_high_frequency,review,,
103,Resûlallah,3492,207,circumflex,Resûlallah,true,550,same_as_original|very_high_frequency,review,,
105,Âsım,3333,306,circumflex,Âsım,true,550,same_as_original|very_high_frequency,review,,
106,Mekke'de,3294,991,apostrophe,Mekkede,false,565,apostrophe_only|very_high_frequency,accept,,
107,Resûlüm,3283,225,circumflex,Resûlüm,true,550,same_as_original|very_high_frequency,review,,
108,tâbi,3222,320,circumflex,tâbi,true,550,same_as_original|very_high_frequency,review,,
109,beyân,3198,153,circumflex,beyân,true,550,same_as_original|very_high_frequency,review,,
110,Nâfi,3190,256,circumflex,Nâfi,true,550,same_as_original|very_high_frequency,review,,
111,azâb,3184,284,circumflex,azâb,true,550,same_as_original|very_high_frequency,review,,
112,ibâdet,3176,266,circumflex,ibâdet,true,550,same_as_original|very_high_frequency,review,,
114,Rasûlüllah,3136,134,circumflex,Rasûlüllah,true,550,same_as_original|very_high_frequency,review,,
115,âyetindeki,3117,272,circumflex,âyetindeki,true,550,same_as_original|very_high_frequency,review,,
116,kâfirleri,3113,568,circumflex,kâfirleri,true,550,same_as_original|very_high_frequency,review,,
117,Şâfiî,3028,150,circumflex,Şâfiî,true,550,same_as_original|very_high_frequency,review,,
118,hidâyet,3016,350,circumflex,hidâyet,true,550,same_as_original|very_high_frequency,review,,
119,Rivâyet,3010,303,circumflex,Rivâyet,true,550,same_as_original|very_high_frequency,review,,
120,lâzım,2988,242,circumflex,lâzım,true,550,same_as_original|very_high_frequency,review,,
121,kelâm,2952,266,circumflex,kelâm,true,550,same_as_original|very_high_frequency,review,,
122,Mûsa'nın,2951,258,circumflex|apostrophe,Mûsanın,false,615,very_high_frequency,accept,,
124,Kur'ân'da,2921,443,circumflex|apostrophe,Kur'ânda,false,615,very_high_frequency,accept,,
125,meselâ,2834,284,circumflex,meselâ,true,550,same_as_original|very_high_frequency,review,,
127,ifâdesi,2795,136,circumflex,ifâdesi,true,550,same_as_original|very_high_frequency,review,,
129,azâbı,2786,322,circumflex,azâbı,true,550,same_as_original|very_high_frequency,review,,
130,Süddî,2786,251,circumflex,Süddî,true,550,same_as_original|very_high_frequency,review,,
131,âyetteki,2727,307,circumflex,âyetteki,true,550,same_as_original|very_high_frequency,review,,
132,Sûresi,2713,501,circumflex,Sûresi,true,550,same_as_original|very_high_frequency,review,,
133,sûrenin,2697,526,circumflex,sûrenin,true,550,same_as_original|very_high_frequency,review,,
134,teâlâ'nın,2694,206,circumflex|apostrophe,teâlâ'nın,true,580,same_as_original|very_high_frequency,review,,
135,kerîme'de,2692,99,circumflex|apostrophe,kerîmede,false,615,very_high_frequency,accept,,
136,sûresi,2692,381,circumflex,sûresi,true,550,same_as_original|very_high_frequency,review,,
137,mükâfat,2686,433,circumflex,mükâfat,true,550,same_as_original|very_high_frequency,review,,
138,Ebû'l,2685,260,circumflex,Ebû'l,true,550,same_as_original|very_high_frequency,review,,
139,mânâsına,2681,200,circumflex,mânâsına,true,550,same_as_original|very_high_frequency,review,,
141,Âyetteki,2616,259,circumflex,Âyetteki,true,550,same_as_original|very_high_frequency,review,,
142,Mansûr,2608,128,circumflex,Mansûr,true,550,same_as_original|very_high_frequency,review,,
143,rivâyete,2566,243,circumflex,rivâyete,true,550,same_as_original|very_high_frequency,review,,
144,âlimler,2540,298,circumflex,âlimler,true,550,same_as_original|very_high_frequency,review,,
145,kıraat,2512,201,specialized-legacy,kıraat,true,520,same_as_original|very_high_frequency,review,,
146,itâat,2472,264,circumflex,itâat,true,550,same_as_original|very_high_frequency,review,,
147,duâ,2413,226,circumflex,duâ,true,550,same_as_original|short_token|very_high_frequency,review,,
148,Rasûlullah,2403,118,circumflex|specialized-legacy,Rasûlullah,true,570,same_as_original|very_high_frequency,review,,
149,Nehhâs,2391,162,circumflex,Nehhâs,true,550,same_as_original|very_high_frequency,review,,
150,âyetine,2390,308,circumflex,âyetine,true,550,same_as_original|very_high_frequency,review,,
151,Mûsa'ya,2369,233,circumflex|apostrophe,Mûsaya,false,615,very_high_frequency,accept,,
152,Atâ,2354,285,circumflex,Atâ,true,550,same_as_original|short_token|very_high_frequency,review,,
153,câizdir,2335,227,circumflex,câizdir,true,550,same_as_original|very_high_frequency,review,,
154,Medine'ye,2319,302,apostrophe,Medineye,false,565,apostrophe_only|very_high_frequency,accept,,
155,Hureyre'den,2295,142,apostrophe,Hureyreden,false,565,apostrophe_only|very_high_frequency,accept,,
157,imkânsız,2291,231,circumflex,imkânsız,true,550,same_as_original|very_high_frequency,review,,
158,sâlih,2287,315,circumflex,sâlih,true,550,same_as_original|very_high_frequency,review,,
159,Îsa,2276,163,circumflex,Îsa,true,550,same_as_original|short_token|very_high_frequency,review,,
160,Cebrâîl,2273,254,circumflex,Cebrâîl,true,550,same_as_original|very_high_frequency,review,,
161,Arapça'da,2226,184,apostrophe,Arapçada,false,565,apostrophe_only|very_high_frequency,accept,,
163,âyetidir,2198,225,circumflex,âyetidir,true,550,same_as_original|very_high_frequency,review,,
164,Kâfirler,2192,412,circumflex,Kâfirler,true,550,same_as_original|very_high_frequency,review,,
165,âyetlerin,2181,391,circumflex,âyetlerin,true,550,same_as_original|very_high_frequency,review,,
166,Muhammed'in,2165,318,apostrophe,Muhammedin,false,565,apostrophe_only|very_high_frequency,accept,,
167,Ya'kûb,2163,224,circumflex|apostrophe,Yakûb,false,615,very_high_frequency,accept,,
168,âciz,2161,362,circumflex,âciz,true,550,same_as_original|very_high_frequency,review,,
169,kıyâmet,2155,213,circumflex,kıyâmet,true,550,same_as_original|very_high_frequency,review,,
170,İbrahim'in,2133,201,apostrophe,İbrahimin,false,565,apostrophe_only|very_high_frequency,accept,,
171,lâyık,2095,355,circumflex,lâyık,true,550,same_as_original|very_high_frequency,review,,
173,âlemlerin,2061,474,circumflex,âlemlerin,true,550,same_as_original|very_high_frequency,review,,
174,hidâyete,2052,266,circumflex,hidâyete,true,550,same_as_original|very_high_frequency,review,,
175,âyetle,2050,278,circumflex,âyetle,true,550,same_as_original|very_high_frequency,review,,
176,vâcib,2039,116,circumflex,vâcib,true,550,same_as_original|very_high_frequency,review,,
177,zekât,2039,244,circumflex,zekât,true,550,same_as_original|very_high_frequency,review,,
178,Îman,1983,226,circumflex,Îman,true,550,same_as_original|very_high_frequency,review,,
179,Fir'avun,1973,129,apostrophe,Firavun,false,565,apostrophe_only|very_high_frequency,accept,,
180,İslâm'a,1969,299,circumflex,İslâma,false,585,very_high_frequency,accept,,
181,Asâkir,1938,98,circumflex,Asâkir,true,550,same_as_original|very_high_frequency,review,,
182,İsa'nın,1894,139,apostrophe,İsanın,false,565,apostrophe_only|very_high_frequency,accept,,
184,sâhibi,1879,199,circumflex,sâhibi,true,550,same_as_original|very_high_frequency,review,,
185,lâfzının,1870,214,circumflex,lâfzının,true,550,same_as_original|very_high_frequency,review,,
186,ihtilâf,1869,217,circumflex,ihtilâf,true,550,same_as_original|very_high_frequency,review,,
187,Mekke'ye,1866,306,apostrophe,Mekkeye,false,565,apostrophe_only|very_high_frequency,accept,,
188,âyete,1862,241,circumflex,âyete,true,550,same_as_original|very_high_frequency,review,,
189,Yûsuf'un,1844,45,circumflex|apostrophe,Yûsufun,false,615,very_high_frequency,accept,,
190,Âdem'in,1839,239,circumflex|apostrophe,Âdemin,false,615,very_high_frequency,accept,,
193,âyetlerde,1814,362,circumflex,âyetlerde,true,550,same_as_original|very_high_frequency,review,,
194,Rasûlü,1813,188,circumflex,Rasûlü,true,550,same_as_original|very_high_frequency,review,,
195,Cibrîl,1797,85,circumflex,Cibrîl,true,550,same_as_original|very_high_frequency,review,,
196,Rahmân,1785,450,circumflex,Rahmân,true,550,same_as_original|very_high_frequency,review,,
197,aklî,1767,230,circumflex,aklî,true,550,same_as_original|very_high_frequency,review,,
198,Rivâyete,1751,211,circumflex,Rivâyete,true,550,same_as_original|very_high_frequency,review,,
199,Medine'de,1745,456,apostrophe,Medinede,false,565,apostrophe_only|very_high_frequency,accept,,
200,Kesîr,1709,262,circumflex,Kesîr,true,550,same_as_original|very_high_frequency,review,,
201,te'kid,1699,229,apostrophe,tekid,false,565,apostrophe_only|very_high_frequency,accept,,
202,imkânsızdır,1691,151,circumflex,imkânsızdır,true,550,same_as_original|very_high_frequency,review,,
204,Kur'ân'a,1658,348,circumflex,Kur'âna,false,585,very_high_frequency,accept,,
205,âyetinden,1658,246,circumflex,âyetinden,true,550,same_as_original|very_high_frequency,review,,
206,lâfız,1654,211,circumflex,lâfız,true,550,same_as_original|very_high_frequency,review,,
207,Hanîfe,1649,122,circumflex,Hanîfe,true,550,same_as_original|very_high_frequency,review,,
208,Kisâî,1645,184,circumflex,Kisâî,true,550,same_as_original|very_high_frequency,review,,
209,mef'ûl,1634,230,circumflex|apostrophe,mef'ûl,true,580,same_as_original|very_high_frequency,review,,
210,Enes'ten,1632,158,apostrophe,Enesten,false,565,apostrophe_only|very_high_frequency,accept,,
211,nikâh,1611,106,circumflex,nikâh,true,550,same_as_original|very_high_frequency,review,,
213,Dârakutnî,1571,73,circumflex,Dârakutnî,true,550,same_as_original|very_high_frequency,review,,
214,yâhud,1566,106,circumflex,yâhud,true,550,same_as_original|very_high_frequency,review,,
215,Kur'an'ın,1554,214,apostrophe,Kuran,false,565,apostrophe_only|very_high_frequency,accept,,
216,kelâmını,1554,137,circumflex,kelâmını,true,550,same_as_original|very_high_frequency,review,,
217,İbrâhim,1553,64,circumflex,İbrâhim,true,550,same_as_original|very_high_frequency,review,,
218,imân,1547,67,circumflex,imân,true,550,same_as_original|very_high_frequency,review,,
219,Lâkin,1545,172,circumflex,Lâkin,true,550,same_as_original|very_high_frequency,review,,
220,Kisâi,1528,121,circumflex,Kisâi,true,550,same_as_original|very_high_frequency,review,,
221,Yûnus,1520,215,circumflex,Yûnus,true,550,same_as_original|very_high_frequency,review,,
222,sûresinde,1501,258,circumflex,sûresinde,true,550,same_as_original|very_high_frequency,review,,
223,âdeta,1500,186,circumflex,âdeta,true,550,same_as_original|very_high_frequency,review,,
224,Mes'ud,1475,238,apostrophe,Mesud,false,565,apostrophe_only|very_high_frequency,accept,,
225,dünyevî,1470,250,circumflex,dünyevî,true,550,same_as_original|very_high_frequency,review,,
226,Kur'ân'dan,1453,337,circumflex|apostrophe,Kur'ândan,false,615,very_high_frequency,accept,,
228,âyetiyle,1438,256,circumflex,âyetiyle,true,550,same_as_original|very_high_frequency,review,,
229,imkân,1438,295,circumflex,imkân,true,550,same_as_original|very_high_frequency,review,,
230,Kelbî,1437,264,circumflex,Kelbî,true,550,same_as_original|very_high_frequency,review,,
231,Firavun'un,1436,108,apostrophe,Firavunun,false,565,apostrophe_only|very_high_frequency,accept,,
232,Mâide,1421,210,circumflex,Mâide,true,550,same_as_original|very_high_frequency,review,,
233,âyetten,1417,263,circumflex,âyetten,true,550,same_as_original|very_high_frequency,review,,
234,azâp,1409,75,circumflex,azâp,true,550,same_as_original|very_high_frequency,review,,
235,kâfirlerden,1393,321,circumflex,kâfirlerden,true,550,same_as_original|very_high_frequency,review,,
236,yegâne,1390,185,circumflex,yegâne,true,550,same_as_original|very_high_frequency,review,,
237,Hadîs,1381,136,circumflex,Hadîs,true,550,same_as_original|very_high_frequency,review,,
238,günahkâr,1380,287,circumflex,günahkâr,true,550,same_as_original|very_high_frequency,review,,
239,Cebrâil,1375,161,circumflex,Cebrâil,true,550,same_as_original|very_high_frequency,review,,
240,Arabî,1374,136,circumflex,Arabî,true,550,same_as_original|very_high_frequency,review,,
241,Mekke'nin,1373,305,apostrophe,Mekkenin,false,565,apostrophe_only|very_high_frequency,accept,,
242,Kıyâmet,1354,166,circumflex,Kıyâmet,true,550,same_as_original|very_high_frequency,review,,
243,rivâyetine,1352,153,circumflex,rivâyetine,true,550,same_as_original|very_high_frequency,review,,
244,Resûlüllah'ın,1348,101,circumflex|apostrophe,Resûlüllah'ın,true,580,same_as_original|very_high_frequency,review,,
245,nüzul,1341,253,specialized-legacy,nüzul,true,520,same_as_original|very_high_frequency,review,,
246,Nehaî,1340,202,circumflex,Nehaî,true,550,same_as_original|very_high_frequency,review,,
247,Şâyet,1340,91,circumflex,Şâyet,true,550,same_as_original|very_high_frequency,review,,
249,Kâfir,1335,288,circumflex,Kâfir,true,550,same_as_original|very_high_frequency,review,,
250,dinî,1331,225,circumflex,dinî,true,550,same_as_original|very_high_frequency,review,,
251,Tevrat'ta,1319,184,apostrophe,Tevratta,false,565,apostrophe_only|very_high_frequency,accept,,
252,hâlinde,1318,139,circumflex,hâlinde,true,550,same_as_original|very_high_frequency,review,,
253,mahzûf,1315,189,circumflex,mahzûf,true,550,same_as_original|very_high_frequency,review,,
254,Taberî,1306,160,circumflex,Taberî,true,550,same_as_original|very_high_frequency,review,,
255,âyetlerimizi,1299,237,circumflex,âyetlerimizi,true,550,same_as_original|very_high_frequency,review,,
256,Mücâhid'den,1298,81,circumflex|apostrophe,Mücâhidden,false,615,very_high_frequency,accept,,
257,zekâtı,1295,217,circumflex,zekâtı,true,550,same_as_original|very_high_frequency,review,,
258,Şafiî,1289,116,circumflex,Şafiî,true,550,same_as_original|very_high_frequency,review,,
259,zâlim,1286,197,circumflex,zâlim,true,550,same_as_original|very_high_frequency,review,,
262,sûrede,1272,337,circumflex,sûrede,true,550,same_as_original|very_high_frequency,review,,
263,Semûd,1268,264,circumflex,Semûd,true,550,same_as_original|very_high_frequency,review,,
265,âit,1265,149,circumflex,âit,true,550,same_as_original|short_token|very_high_frequency,review,,
266,Hakîm,1261,202,circumflex,Hakîm,true,550,same_as_original|very_high_frequency,review,,
267,mükâfaat,1259,80,circumflex,mükâfaat,true,550,same_as_original|very_high_frequency,review,,
268,Cumhûr,1255,161,circumflex,Cumhûr,true,550,same_as_original|very_high_frequency,review,,
269,Kisaî,1253,116,circumflex,Kisaî,true,550,same_as_original|very_high_frequency,review,,
270,Katâde'den,1235,111,circumflex|apostrophe,Katâdeden,false,615,very_high_frequency,accept,,
271,Ömer'den,1233,136,apostrophe,Ömerden,false,565,apostrophe_only|very_high_frequency,accept,,
272,mensûbtur,1226,153,circumflex,mensûbtur,true,550,same_as_original|very_high_frequency,review,,
273,En'âm,1223,181,circumflex,En'âm,true,550,same_as_original|very_high_frequency,review,,
274,Sünen'de,1222,74,apostrophe,Sünende,false,565,apostrophe_only|very_high_frequency,accept,,
275,ma'nasına,1220,79,apostrophe,manasına,false,565,apostrophe_only|very_high_frequency,accept,,
277,belâ,1194,225,circumflex,belâ,true,550,same_as_original|very_high_frequency,review,,
278,İsrâil,1189,63,circumflex,İsrâil,true,550,same_as_original|very_high_frequency,review,,
279,mânâsını,1173,175,circumflex,mânâsını,true,550,same_as_original|very_high_frequency,review,,
280,Selâm,1167,209,circumflex,Selâm,true,550,same_as_original|very_high_frequency,review,,
281,mânası,1162,39,circumflex,mânası,true,550,same_as_original|very_high_frequency,review,,
282,âlemin,1157,176,circumflex,âlemin,true,550,same_as_original|very_high_frequency,review,,
283,Delâil'de,1154,85,circumflex|apostrophe,Delâilde,false,615,very_high_frequency,accept,,
284,kırâat,1152,93,circumflex,kırâat,true,550,same_as_original|very_high_frequency,review,,
285,zâlimler,1152,208,circumflex,zâlimler,true,550,same_as_original|very_high_frequency,review,,
286,kâfirin,1149,244,circumflex,kâfirin,true,550,same_as_original|very_high_frequency,review,,
287,Mu'tezile,1144,137,apostrophe,Mutezile,false,565,apostrophe_only|very_high_frequency,accept,,
288,Kâfirlerin,1142,253,circumflex,Kâfirlerin,true,550,same_as_original|very_high_frequency,review,,
289,Hattâb,1140,151,circumflex,Hattâb,true,550,same_as_original|very_high_frequency,review,,
290,sâhibidir,1136,149,circumflex,sâhibidir,true,550,same_as_original|very_high_frequency,review,,
291,mensûb,1135,181,circumflex,mensûb,true,550,same_as_original|very_high_frequency,review,,
292,Dârimî,1134,117,circumflex,Dârimî,true,550,same_as_original|very_high_frequency,review,,
293,mu'cize,1127,140,apostrophe,mucize,false,565,apostrophe_only|very_high_frequency,accept,,
294,sâdır,1125,123,circumflex,sâdır,true,550,same_as_original|very_high_frequency,review,,
295,hâldir,1124,137,circumflex,hâldir,true,550,same_as_original|very_high_frequency,review,,
297,Mes'ûd'dan,1112,128,circumflex|apostrophe,Mes'ûddan,false,615,very_high_frequency,accept,,
298,İsa'ya,1111,123,apostrophe,İsaya,false,565,apostrophe_only|very_high_frequency,accept,,
299,hâli,1110,189,circumflex,hâli,true,550,same_as_original|very_high_frequency,review,,
300,rüzgâr,1110,209,circumflex,rüzgâr,true,550,same_as_original|very_high_frequency,review,,
301,âyettir,1108,611,circumflex,âyettir,true,550,same_as_original|very_high_frequency,review,,
302,nübüvvet,1108,181,specialized-legacy,nübüvvet,true,520,same_as_original|very_high_frequency,review,,
303,Firyâbî,1101,85,circumflex,Firyâbî,true,550,same_as_original|very_high_frequency,review,,
304,Tâlib,1100,156,circumflex,Tâlib,true,550,same_as_original|very_high_frequency,review,,
305,Sûresi'nin,1099,239,circumflex|apostrophe,Sûresinin,false,615,very_high_frequency,accept,,
306,mülâhaza,1099,102,circumflex,mülâhaza,true,550,same_as_original|very_high_frequency,review,,
307,İslâm'ın,1095,221,circumflex|apostrophe,İslâm'ın,true,580,same_as_original|very_high_frequency,review,,
308,zâhir,1093,165,circumflex,zâhir,true,550,same_as_original|very_high_frequency,review,,
309,zâtı,1082,147,circumflex,zâtı,true,550,same_as_original|very_high_frequency,review,,
310,talâk,1079,55,circumflex,talâk,true,550,same_as_original|very_high_frequency,review,,
311,Câbir,1077,167,circumflex,Câbir,true,550,same_as_original|very_high_frequency,review,,
312,ifâdesinin,1077,102,circumflex,ifâdesinin,true,550,same_as_original|very_high_frequency,review,,
313,İbrâhîm'in,1072,109,circumflex|apostrophe,İbrâhîmin,false,615,very_high_frequency,accept,,
314,ifâdenin,1062,66,circumflex,ifâdenin,true,550,same_as_original|very_high_frequency,review,,
315,Atâ',1058,100,circumflex,Atâ',true,550,same_as_original|short_token|edge_apostrophe|very_high_frequency,review,,
317,maddî,1057,208,circumflex,maddî,true,550,same_as_original|very_high_frequency,review,,
318,Meryem'in,1055,97,apostrophe,Meryemin,false,565,apostrophe_only|very_high_frequency,accept,,
320,kıraati,1049,175,specialized-legacy,kıraati,true,520,same_as_original|very_high_frequency,review,,
321,SÛRESİ,1046,1037,circumflex,SÛRESİ,true,550,same_as_original|very_high_frequency,review,,
322,lâkin,1043,132,circumflex,lâkin,true,550,same_as_original|very_high_frequency,review,,
323,mezkûr,1043,169,circumflex,mezkûr,true,550,same_as_original|very_high_frequency,review,,
326,âlimleri,1033,192,circumflex,âlimleri,true,550,same_as_original|very_high_frequency,review,,
327,Âlimler,1028,120,circumflex,Âlimler,true,550,same_as_original|very_high_frequency,review,,
328,umumî,1027,158,circumflex,umumî,true,550,same_as_original|very_high_frequency,review,,
